CLOSED
Version	0.4
Run	717
Instrument	2950 TGA       V5.4A
Module	TGA 1000 øC
Sample	CuSO4*5H2O standard slow
Size	8.07900	mg
Method	
Operator	AE
Comment	CuSO4*5H2O standard at 1C/min for calibration
Xcomment	Pan: Platinum           Gas1: Nitrogen  20          Gas2: Nitrogen  30
Text
Kcell	1.00000
TempCal	2	pts	24.15	22.00,	374.82	354.00
Thresholds	0.050	0.0000
Controls	Gas 1  Event Off  Sampling 2.0 sec/pt
Nsig	3
Sig1	Time (min)
Sig2	Temperature (øC)
Sig3	Weight (mg)
Date	21-May-19
Time	17:52
File	C:\TA\Data\TGA\Angela\Cannabinoids\CuSO4_5H2O_Ref_1C_min_052119.001
OrgFile	C:\TA\Data\TGA\Angela\Cannabinoids\CuSO4_5H2O_Ref_1C_min_052119.001
11.72267 38.22451 8.035514
11.75600 38.25932 8.035300
11.79017 38.28626 8.034746
11.82434 38.31922 8.034432
11.85767 38.35676 8.034470
11.89100 38.38831 8.034161
11.92434 38.42078 8.033859
11.95766 38.45793 8.033584
11.99117 38.49026 8.033288
12.02450 38.51974 8.032822
12.05784 38.55706 8.032399
12.09117 38.59246 8.031985
12.12534 38.62452 8.031660
12.15916 38.65911 8.031371
12.19250 38.69342 8.031020
12.22600 38.72556 8.030624
12.25934 38.75961 8.030258
12.29266 38.79416 8.029721
12.32600 38.82437 8.029188
12.35934 38.86053 8.028601
12.39266 38.89184 8.028070
12.42600 38.92632 8.027674
12.45934 38.96222 8.027400
12.49266 38.99154 8.026966
12.52600 39.02368 8.026511
12.55934 39.06181 8.025903
12.59266 39.09478 8.025268
12.62600 39.12288 8.024540
12.65934 39.15428 8.023811
12.69266 39.19348 8.023040
12.72600 39.22611 8.022343
12.75934 39.25478 8.021618
12.79266 39.29008 8.021020
12.82600 39.32870 8.020282
12.85950 39.36104 8.019370
12.89284 39.38936 8.018196
12.92616 39.42502 8.017257
12.95950 39.46192 8.016438
12.99283 39.49110 8.015930
13.02617 39.52503 8.015342
13.05950 39.55875 8.014626
13.09250 39.59306 8.013738
13.12600 39.62554 8.012910
13.15934 39.66120 8.011853
13.19266 39.69215 8.010925
13.22600 39.72574 8.010222
13.25934 39.76181 8.009586
13.29266 39.79230 8.008793
13.32600 39.82620 8.007930
13.35933 39.86139 8.007028
13.39266 39.89115 8.005958
13.42600 39.92276 8.004756
13.45934 39.95904 8.003745
13.49266 39.99231 8.002856
13.52617 40.02680 8.001997
13.55950 40.05867 8.001337
13.59283 40.09300 8.000512
13.62583 40.12765 7.999640
13.65934 40.15714 7.998797
13.69266 40.19079 7.997764
13.72600 40.22850 7.996794
13.75934 40.25917 7.995996
13.79266 40.29144 7.995538
13.82600 40.32676 7.994800
13.85933 40.36081 7.993891
13.89266 40.39270 7.992974
13.92600 40.42732 7.991756
13.95950 40.46059 7.990666
13.99283 40.49397 7.989501
14.02617 40.52995 7.988526
14.05950 40.55822 7.987690
14.09283 40.59209 7.986650
14.12583 40.62811 7.985925
14.15934 40.66064 7.985009
14.19266 40.69275 7.983989
14.22600 40.72914 7.983110
14.25934 40.76006 7.982230
14.29266 40.79200 7.981387
14.32600 40.82688 7.980522
14.35933 40.86038 7.979751
14.39284 40.89392 7.978782
14.42616 40.92791 7.977624
14.45950 40.96362 7.976413
14.49283 40.99285 7.975140
14.52583 41.02490 7.973907
14.55917 41.06004 7.972813
14.59266 41.09287 7.971750
14.62600 41.12688 7.970734
14.65934 41.16198 7.969843
14.69266 41.19131 7.968732
14.72600 41.22474 7.967358
14.75934 41.26022 7.965970
14.79266 41.28992 7.964615
14.82600 41.32103 7.963485
14.85933 41.35595 7.962407
14.89284 41.39132 7.961506
14.92616 41.42387 7.960334
14.95950 41.45717 7.959042
14.99250 41.49212 7.957581
15.02600 41.52310 7.956168
15.05933 41.55476 7.954812
15.09266 41.59066 7.953450
15.12600 41.62400 7.952219
15.15934 41.65700 7.951255
15.19266 41.69125 7.950574
15.22617 41.72482 7.949540
15.25950 41.75793 7.948194
15.29283 41.79194 7.946819
15.32700 41.82654 7.945370
15.36084 41.86011 7.943901
15.39434 41.89164 7.942687
15.42767 41.92541 7.941454
15.46100 41.96244 7.940394
15.49516 41.99288 7.939249
15.52934 42.02340 7.937898
15.56266 42.05861 7.936656
15.59600 42.09433 7.935462
15.62934 42.12490 7.933921
15.66450 42.16052 7.932024
15.69950 42.19864 7.930353
15.73283 42.23026 7.929168
15.76617 42.26211 7.928081
15.79917 42.29631 7.926709
15.83266 42.33032 7.925500
15.86600 42.36387 7.923878
15.89934 42.39896 7.922182
15.93266 42.43018 7.920832
15.96600 42.46304 7.919438
16.00034 42.49944 7.918292
16.03450 42.53415 7.917024
16.06783 42.56814 7.915478
16.10083 42.60107 7.913804
16.13433 42.63559 7.912226
16.16850 42.67059 7.910645
16.20267 42.70416 7.908906
16.23600 42.73918 7.907445
16.26934 42.77252 7.906100
16.30266 42.80463 7.904835
16.33700 42.83910 7.903184
16.37117 42.87484 7.901568
16.40450 42.90661 7.899872
16.43750 42.94106 7.897808
16.47100 42.97452 7.896089
16.50434 43.00457 7.894516
16.53766 43.03925 7.892890
16.57100 43.07450 7.891462
16.60434 43.10654 7.889849
16.63766 43.13856 7.888094
16.67117 43.17410 7.886335
16.70450 43.20703 7.884392
16.73750 43.23914 7.882641
16.77100 43.27222 7.881012
16.80434 43.30598 7.879151
16.83767 43.33984 7.877184
16.87100 43.37290 7.875725
16.90434 43.40817 7.874326
16.93784 43.43796 7.872480
